          WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_ext (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
4.966E-01 3.255E-15 1.454E-15 1.990E-14 2.370E-17 1.811E-16 3.082E-14
5.012E-01 3.142E-15 1.416E-15 1.981E-14 2.349E-17 1.793E-16 3.043E-14
5.058E-01 3.031E-15 1.379E-15 1.972E-14 2.329E-17 1.775E-16 3.003E-14
5.105E-01 2.922E-15 1.343E-15 1.962E-14 2.309E-17 1.758E-16 2.965E-14
5.152E-01 2.816E-15 1.308E-15 1.953E-14 2.289E-17 1.741E-16 2.926E-14
5.200E-01 2.712E-15 1.273E-15 1.943E-14 2.269E-17 1.724E-16 2.887E-14
5.248E-01 2.611E-15 1.240E-15 1.934E-14 2.250E-17 1.707E-16 2.848E-14
5.297E-01 2.512E-15 1.208E-15 1.924E-14 2.230E-17 1.691E-16 2.808E-14
5.346E-01 2.416E-15 1.176E-15 1.915E-14 2.211E-17 1.674E-16 2.769E-14
5.395E-01 2.324E-15 1.145E-15 1.905E-14 2.192E-17 1.658E-16 2.729E-14
5.445E-01 2.233E-15 1.115E-15 1.896E-14 2.173E-17 1.642E-16 2.690E-14
5.495E-01 2.146E-15 1.086E-15 1.886E-14 2.154E-17 1.627E-16 2.651E-14
5.546E-01 2.061E-15 1.058E-15 1.876E-14 2.135E-17 1.611E-16 2.612E-14
5.598E-01 1.978E-15 1.030E-15 1.867E-14 2.117E-17 1.596E-16 2.573E-14
5.649E-01 1.899E-15 1.003E-15 1.857E-14 2.098E-17 1.580E-16 2.535E-14
5.702E-01 1.822E-15 9.773E-16 1.848E-14 2.080E-17 1.565E-16 2.496E-14
5.754E-01 1.747E-15 9.518E-16 1.838E-14 2.062E-17 1.550E-16 2.458E-14
5.808E-01 1.675E-15 9.271E-16 1.829E-14 2.044E-17 1.536E-16 2.420E-14
5.861E-01 1.605E-15 9.030E-16 1.819E-14 2.026E-17 1.521E-16 2.382E-14
5.916E-01 1.538E-15 8.797E-16 1.810E-14 2.008E-17 1.507E-16 2.344E-14
5.970E-01 1.473E-15 8.569E-16 1.800E-14 1.991E-17 1.493E-16 2.306E-14
6.026E-01 1.410E-15 8.348E-16 1.791E-14 1.974E-17 1.478E-16 2.269E-14
6.081E-01 1.350E-15 8.134E-16 1.781E-14 1.956E-17 1.465E-16 2.231E-14
6.138E-01 1.292E-15 7.925E-16 1.771E-14 1.939E-17 1.451E-16 2.194E-14
6.194E-01 1.235E-15 7.723E-16 1.762E-14 1.922E-17 1.437E-16 2.158E-14
6.252E-01 1.181E-15 7.526E-16 1.752E-14 1.906E-17 1.424E-16 2.121E-14
6.310E-01 1.128E-15 7.335E-16 1.742E-14 1.889E-17 1.410E-16 2.085E-14
6.368E-01 1.077E-15 7.150E-16 1.733E-14 1.872E-17 1.397E-16 2.049E-14
6.427E-01 1.027E-15 6.970E-16 1.723E-14 1.856E-17 1.384E-16 2.013E-14
6.486E-01 9.786E-16 6.796E-16 1.713E-14 1.840E-17 1.371E-16 1.978E-14
6.546E-01 9.312E-16 6.626E-16 1.704E-14 1.824E-17 1.358E-16 1.943E-14
6.607E-01 8.852E-16 6.461E-16 1.694E-14 1.808E-17 1.346E-16 1.908E-14
6.668E-01 8.407E-16 6.299E-16 1.684E-14 1.792E-17 1.334E-16 1.873E-14
6.730E-01 7.980E-16 6.142E-16 1.675E-14 1.777E-17 1.321E-16 1.839E-14
6.792E-01 7.568E-16 5.990E-16 1.665E-14 1.761E-17 1.309E-16 1.805E-14
6.855E-01 7.174E-16 5.842E-16 1.655E-14 1.746E-17 1.297E-16 1.771E-14
6.918E-01 6.796E-16 5.699E-16 1.645E-14 1.731E-17 1.285E-16 1.738E-14
6.982E-01 6.435E-16 5.560E-16 1.635E-14 1.716E-17 1.274E-16 1.705E-14
7.047E-01 6.092E-16 5.424E-16 1.626E-14 1.701E-17 1.262E-16 1.672E-14
7.112E-01 5.766E-16 5.293E-16 1.616E-14 1.687E-17 1.251E-16 1.640E-14
7.178E-01 5.457E-16 5.165E-16 1.606E-14 1.672E-17 1.240E-16 1.608E-14
7.244E-01 5.165E-16 5.041E-16 1.596E-14 1.658E-17 1.228E-16 1.576E-14
7.311E-01 4.889E-16 4.921E-16 1.586E-14 1.644E-17 1.217E-16 1.545E-14
7.379E-01 4.627E-16 4.804E-16 1.576E-14 1.630E-17 1.206E-16 1.514E-14
7.447E-01 4.379E-16 4.691E-16 1.566E-14 1.616E-17 1.196E-16 1.483E-14
7.516E-01 4.143E-16 4.581E-16 1.556E-14 1.602E-17 1.185E-16 1.453E-14
7.586E-01 3.919E-16 4.474E-16 1.547E-14 1.588E-17 1.174E-16 1.423E-14
7.656E-01 3.706E-16 4.370E-16 1.537E-14 1.575E-17 1.164E-16 1.394E-14
7.727E-01 3.503E-16 4.270E-16 1.527E-14 1.561E-17 1.153E-16 1.365E-14
7.798E-01 3.310E-16 4.172E-16 1.517E-14 1.548E-17 1.143E-16 1.336E-14
7.870E-01 3.128E-16 4.078E-16 1.507E-14 1.534E-17 1.133E-16 1.308E-14
7.943E-01 2.956E-16 3.986E-16 1.497E-14 1.521E-17 1.123E-16 1.280E-14
8.017E-01 2.795E-16 3.897E-16 1.487E-14 1.508E-17 1.113E-16 1.252E-14
8.091E-01 2.645E-16 3.812E-16 1.477E-14 1.495E-17 1.103E-16 1.225E-14
8.166E-01 2.504E-16 3.728E-16 1.467E-14 1.482E-17 1.093E-16 1.198E-14
8.241E-01 2.373E-16 3.648E-16 1.457E-14 1.469E-17 1.083E-16 1.172E-14
8.318E-01 2.253E-16 3.570E-16 1.446E-14 1.457E-17 1.073E-16 1.146E-14
8.395E-01 2.142E-16 3.495E-16 1.436E-14 1.444E-17 1.064E-16 1.120E-14
8.472E-01 2.041E-16 3.422E-16 1.426E-14 1.432E-17 1.054E-16 1.094E-14
8.551E-01 1.949E-16 3.352E-16 1.416E-14 1.419E-17 1.045E-16 1.069E-14
8.630E-01 1.867E-16 3.285E-16 1.406E-14 1.407E-17 1.036E-16 1.045E-14
8.710E-01 1.795E-16 3.220E-16 1.396E-14 1.395E-17 1.026E-16 1.020E-14
8.790E-01 1.733E-16 3.158E-16 1.386E-14 1.383E-17 1.017E-16 9.965E-15
8.872E-01 1.680E-16 3.099E-16 1.376E-14 1.371E-17 1.008E-16 9.729E-15
8.954E-01 1.638E-16 3.043E-16 1.366E-14 1.359E-17 9.991E-17 9.496E-15
9.036E-01 1.608E-16 2.990E-16 1.355E-14 1.347E-17 9.901E-17 9.267E-15
9.120E-01 1.590E-16 2.940E-16 1.345E-14 1.335E-17 9.813E-17 9.042E-15
9.204E-01 1.585E-16 2.894E-16 1.335E-14 1.324E-17 9.725E-17 8.820E-15
