               WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_abs (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
1.028E+00 7.271E-16 3.836E-16 5.642E-15 1.192E-17 8.709E-17 1.276E-15
1.038E+00 9.465E-16 4.360E-16 5.592E-15 1.182E-17 8.633E-17 1.257E-15
1.047E+00 1.100E-15 4.719E-16 5.542E-15 1.172E-17 8.558E-17 1.238E-15
1.057E+00 1.055E-15 4.573E-16 5.492E-15 1.162E-17 8.484E-17 1.219E-15
1.067E+00 8.561E-16 4.034E-16 5.442E-15 1.152E-17 8.411E-17 1.201E-15
1.076E+00 6.448E-16 3.464E-16 5.392E-15 1.142E-17 8.338E-17 1.183E-15
1.086E+00 4.849E-16 3.027E-16 5.344E-15 1.132E-17 8.267E-17 1.165E-15
1.096E+00 3.763E-16 2.721E-16 5.297E-15 1.123E-17 8.195E-17 1.148E-15
1.107E+00 3.041E-16 2.509E-16 5.250E-15 1.113E-17 8.125E-17 1.131E-15
1.117E+00 2.560E-16 2.359E-16 5.203E-15 1.103E-17 8.055E-17 1.114E-15
1.127E+00 2.242E-16 2.251E-16 5.157E-15 1.094E-17 7.985E-17 1.097E-15
1.138E+00 2.035E-16 2.171E-16 5.110E-15 1.085E-17 7.916E-17 1.081E-15
